Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
March 31 2022,Whitman,WA,Passenger,79,54,133,22039,22172,0.60
December 31 2022,Whatcom,WA,Truck,26,0,26,43094,43120,0.06
August 31 2023,Essex,NJ,Passenger,2,0,2,4,6,33.33
May 31 2021,Morris,NJ,Passenger,1,0,1,14,15,6.67
October 31 2019,Santa Fe,NM,Passenger,0,1,1,41,42,2.38
August 31 2022,Platte,MO,Passenger,1,0,1,24,25,4.00
March 31 2018,Klickitat,WA,Passenger,25,27,52,14972,15024,0.35
January 31 2021,Clark,WA,Passenger,2459,1211,3670,319381,323051,1.14
February 28 2018,DeKalb,GA,Passenger,1,0,1,86,87,1.15
July 31 2018,Mason,WA,Truck,0,0,0,20049,20049,0.00
January 31 2022,Champaign,IL,Passenger,1,0,1,12,13,7.69
February 29 2020,New London,CT,Passenger,0,2,2,252,254,0.79
July 31 2022,Kauai,HI,Passenger,1,0,1,16,17,5.88
July 31 2017,Santa Fe,NM,Passenger,0,1,1,43,44,2.27
September 30 2017,Dale,AL,Passenger,0,1,1,63,64,1.56
November 30 2019,Klickitat,WA,Passenger,45,38,83,15670,15753,0.53
February 28 2018,Stevens,WA,Truck,0,0,0,18403,18403,0.00
January 31 2019,Broward,FL,Passenger,2,1,3,130,133,2.26
June 30 2018,Okaloosa,FL,Passenger,1,0,1,172,173,0.58
March 31 2020,Adams,WA,Truck,0,0,0,5219,5219,0.00
October 31 2018,Saratoga,NY,Passenger,1,0,1,60,61,1.64
December 31 2018,Douglas,NE,Passenger,0,1,1,68,69,1.45
December 31 2017,San Mateo,CA,Passenger,0,1,1,147,148,0.68
August 31 2023,Champaign,IL,Passenger,1,0,1,12,13,7.69
October 31 2018,Twin Falls,ID,Passenger,0,1,1,22,23,4.35
August 31 2020,Goochland,VA,Passenger,3,2,5,251,256,1.95
September 30 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
May 31 2017,Hamilton,IN,Passenger,1,0,1,62,63,1.59
November 30 2018,Guadalupe,TX,Passenger,1,0,1,82,83,1.20
September 30 2022,Duval,FL,Passenger,1,2,3,267,270,1.11
August 31 2020,Sacramento,CA,Passenger,1,0,1,265,266,0.38
October 31 2021,Prince William,VA,Passenger,1,1,2,200,202,0.99
April 30 2020,Fairbanks North Star,AK,Passenger,0,1,1,98,99,1.01
September 30 2019,Skagit,WA,Passenger,315,210,525,92513,93038,0.56
April 30 2018,Pend Oreille,WA,Passenger,4,5,9,9476,9485,0.09
June 30 2020,Harris,TX,Passenger,1,0,1,235,236,0.42
September 30 2021,Gwinnett,GA,Passenger,1,0,1,59,60,1.67
July 31 2020,Stafford,VA,Passenger,1,1,2,91,93,2.15
April 30 2020,Tulsa,OK,Passenger,1,1,2,44,46,4.35
June 30 2020,San Francisco,CA,Passenger,1,1,2,95,97,2.06
October 31 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
September 30 2018,Nassau,NY,Passenger,2,0,2,38,40,5.00
March 31 2022,Hamilton,OH,Passenger,1,0,1,33,34,2.94
October 31 2020,DeKalb,IN,Passenger,1,0,1,1,2,50.00
April 30 2022,Contra Costa,CA,Passenger,0,3,3,259,262,1.15
September 30 2020,Stevens,WA,Truck,0,0,0,18705,18705,0.00
June 30 2023,Orange,CA,Passenger,6,2,8,277,285,2.81
November 30 2018,Pacific,WA,Truck,0,0,0,7611,7611,0.00
February 28 2018,Hamilton,IN,Passenger,1,0,1,51,52,1.92
April 30 2017,Collier,FL,Passenger,1,0,1,19,20,5.00
October 31 2022,Clallam,WA,Truck,7,0,7,21889,21896,0.03
June 30 2022,Arapahoe,CO,Passenger,0,1,1,82,83,1.20
October 31 2021,Ray,MO,Passenger,0,1,1,1,2,50.00
August 31 2018,Kootenai,ID,Passenger,0,1,1,220,221,0.45
November 30 2021,Henrico,VA,Passenger,0,1,1,13,14,7.14
May 31 2018,Prince George's,MD,Passenger,1,1,2,183,185,1.08
